22:46,90
23:01,91
23:16,92
07:46,84
08:01,84
08:16,82
08:31,80
08:46,80
09:01,78
09:16,73
09:31,73
09:46,71
10:01,69
10:16,67
10:31,66
10:46,67
11:01,65
11:16,63
11:31,63
11:46,60
12:01,59
12:16,60
12:31,59
12:46,61
13:41,66
13:56,65
14:11,66
14:26,63
14:41,64
14:56,63
15:11,62
15:26,61
15:41,60
15:56,60
16:11,60
16:36,61
16:36,61
16:36,61
16:36,61
16:36,61
16:51,60
17:06,61
17:21,64
17:36,65
17:56,66
18:11,71
18:26,70
18:41,74
18:56,74
19:11,75
19:26,77
19:41,81
19:56,82
20:11,82
20:26,82
20:41,83
20:56,84
21:11,84
21:26,84
21:41,84
21:56,84
22:11,85
22:26,85
22:41,87
